_id;SOZIETATEA_EU/SOCIEDAD_EU;SOZIETATEA_CAS/SOCIEDAD_CAS;EKITALDIA/EJERCICIO;SAILA/DEPARTAMENTO;SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_EU;SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_CAS;ZENTRU KUDEATZAILEA/CENTRO GESTOR;ZENTRO KUDEATZAILEAREN DESKR._EUS/DESCR. CENTRO GESTOR_EUS;ZENTRO KUDEATZAILEAREN DESKR._CAS/DESCR. CENTRO GESTOR_CAS;GASTU ARLOA/AREA DE GASTO;GASTU ARLOAREN DESKRIBAPENA_EUS/DESCRIPCION AREA DE GASTO_EUS;GASTU ARLOAREN DESKRIBAPENA_CAS/DESCRIPCION AREA DE GASTO_CAS;GASTU POLITIKA/POLITICA DE GASTO;GASTU POLITIKAREN DESKR.EUS/DESCR. POLITICA DE GASTO_EUS;GASTU POLITIKAREN DESKR._CAS/DESCR. POLITICA DE GASTO_CAS;TALDEA/GRUPO;TALDEAREN DESKRIBAPENA_EUS/DESCRIPCION GRUPO_EUS;TALDEAREN DESKRIBAPENA_CAS/DESCRIPCION GRUPO_CAS;PROGRAMA/PROGRAMA;PROGRAMAREN DESKRIBAPENA_EUS/DESCRIPCION PROGRAMA_EUS;PROGRAMAREN DESKRIBAPENA_CAS/DESCRIPCION PROGRAMA_CAS;KAPITULUA/CAPITULO;KAPITULUAREN DESKRIBAPENA_EUS/DESCRIPCION CAPITULO_EUS;KAPITULUAREN DESKRIBAPENA_CAS/DESCRIPCION CAPITULO_CAS;ARTIKULUA/ARTICULO;ARTIKULUAREN DESKRIBAPENA_EUS/DESCRIPCION ARTICULO_EUS;ARTIKULUAREN DESKRIBAPENA_CAS/DESCRIPCION ARTICULO_CAS;KONTZEPTUA/CONCEPTO;KONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION CONCEPTO_EUS;KONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION CONCEPTO_CAS;AZPIKONTZEPTUA/SUBCONCEPTO;AZPIKONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION SUBCONCEPTO_EUS;AZPIKONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION SUBCONCEPTO_CAS;PROIEKTUA/PROYECTO;PROIEKTUAREN DESKRIBAPENA/DESCRIPCION PROYECTO;HASIERAKO KREDITUA/CREDITO INICIAL 2023
1;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;10;GOI-KARGUEN SOLDATAK;RETRIBUCIONES DE ALTOS CARGOS;100;GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK;RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE AL;10001;GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK;RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DE AL;9999/99999;GENERIKOA/ GENÉRICO;220.619,00
2;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;11;KABINETEETAKO ALDI BATERAKO PERTSONALAREN SOLDATAK;RETRIBUCIONES DEL PERSONAL EVENTUAL DE GABINETES;110;KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK;RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DEL P;11001;KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK;RETRIBUCIONES BASICAS Y OTRAS REMUNERACIONES DEL P;9999/99999;GENERIKOA/ GENÉRICO;589.261,00
3;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;12;FUNTZIONARIOEN SOLDATAK;RETRIBUCIONES DEL PERSONAL FUNCIONARIO;120;FUNTZIONARIOEN OINARRIZKO SOLDATAK;RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO;12001;FUNTZIONARIOEN OINARRIZKO SOLDATAK;RETRIBUCIONES BASICAS DEL PERSONAL FUNCIONARIO;9999/99999;GENERIKOA/ GENÉRICO;383.369,00
4;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;12;FUNTZIONARIOEN SOLDATAK;RETRIBUCIONES DEL PERSONAL FUNCIONARIO;121;FUNTZIONARIOEN ORDAINSARI OSAGARRIAK;RETRIBUCIONES COMPLEMENTARIAS DEL PERSONAL FUNCION;12101;LANTOKI OSAGARRIA;COMPLEMENTO DE DESTINO;9999/99999;GENERIKOA/ GENÉRICO;131.722,00
5;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;12;FUNTZIONARIOEN SOLDATAK;RETRIBUCIONES DEL PERSONAL FUNCIONARIO;121;FUNTZIONARIOEN ORDAINSARI OSAGARRIAK;RETRIBUCIONES COMPLEMENTARIAS DEL PERSONAL FUNCION;12102;OSAGARRI BEREZIA;COMPLEMENTO ESPECIFICO;9999/99999;GENERIKOA/ GENÉRICO;396.609,00
6;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;12;FUNTZIONARIOEN SOLDATAK;RETRIBUCIONES DEL PERSONAL FUNCIONARIO;121;FUNTZIONARIOEN ORDAINSARI OSAGARRIAK;RETRIBUCIONES COMPLEMENTARIAS DEL PERSONAL FUNCION;12103;PRODUKTIBITATE OSAGARRIA;COMPLEMENTO DE PRODUCTIVIDAD;9999/99999;GENERIKOA/ GENÉRICO;29.584,00
7;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;16;ENPLEGUEMAILEAREN KARGURAKO GIZARTE KUOTA, PRESTAZIO ETA GASTUAK;CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL;160;KUOTA SOZIALAK ENPLEGATZAILEAREN KONTURA;CUOTAS SOCIALES A CARGO DEL EMPLEADOR;16001;GIZARTE SEGURANTZA;SEGURIDAD SOCIAL;9999/99999;GENERIKOA/ GENÉRICO;376.329,00
8;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;1;PERTSONAL GASTUAK;GASTOS DE PERSONAL;16;ENPLEGUEMAILEAREN KARGURAKO GIZARTE KUOTA, PRESTAZIO ETA GASTUAK;CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL;160;KUOTA SOZIALAK ENPLEGATZAILEAREN KONTURA;CUOTAS SOCIALES A CARGO DEL EMPLEADOR;16004;ELKARKIDETZAKO KUOTAK;CUOTAS ELKARKIDETZA;9999/99999;GENERIKOA/ GENÉRICO;13.974,00
9;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;2;ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK;GASTOS EN BIENES CORRIENTES Y SERVICIOS;20;ERRENTAMENDUAK;ARRENDAMIENTOS;209;BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA;ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL;20901;BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA;ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL;2013/00002;Bilboko Herritarren Kontseilua/ Consejo Cívico de la Villa de Bilbao;1.000,00
10;UDAL;UDAL;2023;110;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;1100;KULTURA ETA GOBERNANTZA;CULTURA Y GOBERNANZA;9;JARDUKETA OROKORRAK;ACTUACIONES DE CARÁCTER GENERAL;91;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;912;GOBERNU-ORGANOAK;ÓRGANOS DE GOBIERNO;9121;UDAL GOBERNUARI LAGUNTZEA;APOYO AL GOBIERNO MUNICIPAL;2;ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK;GASTOS EN BIENES CORRIENTES Y SERVICIOS;20;ERRENTAMENDUAK;ARRENDAMIENTOS;209;BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA;ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL;20901;BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA;ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL;2021/00385;Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía;500,00
