idelem;ALTURA MAXIMA;NOMBRE TUNEL;POINT_X;POINT_Y;SENTIDO;COMENTARIO- TIPO GALIBO;LATITUD;LONGITUD
8959;2,95;GLORIETA DE SAN VICENTE (ENTRADA PRINCIPAL) RAMPA DE ACCESO Y VIRGEN DEL PUERTO - PASEO DEL REY;438912,3031;4474612,979;Interior;2 CHAPAS con cadenas final acceso Paseo del Rey;40,41990315;-3,72007491
8954;4;BAILÉN - FERRAZ;439479,3243;4474181,2;E: Bailén;Estructura fija en interior;40,41605513;-3,713352936
8964;4;BAILÉN - FERRAZ;439392,055;4474958,045;E: Ferraz;Estructura fija en interior;40,42304694;-3,714455528
8961;4;BAILÉN - FERRAZ;439482,6262;4474804,58;E: Cuesta de San Vicente;Estructura fija en interior;40,42167106;-3,713373335
8960;4;BAILÉN - FERRAZ;439521,7846;4474874,166;E: Plaza España;Estructura fija en interior;40,42230076;-3,71291839
8962;4;BAILÉN - FERRAZ;439479,502;4474183,125;E: Bailén;CHAPAS con cadenas;40,41607248;-3,713351025
8957;3,9;AVENIDA DEL PLANETARIO BAJO PARQUE ENRIQUE TIERNO GALVÁN;441925,0158;4471575,968;E: Avda Planetario;8 Chapas con cadenas;40,39276008;-3,684290023
8934;3,5;MARÍA DE MOLINA - VELÁZQUEZ - A-2 BAJO LÓPEZ DE HOYOS;441625,8193;4476587,981;E: Po Castellana;BARRA con cadenas;40,4378899;-3,6882751
8935;3,5;MARÍA DE MOLINA - VELÁZQUEZ - A-2 BAJO LÓPEZ DE HOYOS;441618,1062;4476588,674;E: Po Castellana;Exterior (cadenas con chapas pintadas);40,4378956;-3,6883661
8956;3,5;MARÍA DE MOLINA - VELÁZQUEZ - A-2 BAJO LÓPEZ DE HOYOS;442066,6652;4476517,38;E: Velázquez;Exterior (cadenas con chapas pintadas);40,43728473;-3,683071113
8949;4,3;AVENIDA DE PÍO XII - MONFORTE DE LEMOS - SINESIO DELGADO BAJO PASEO DE LA CASTELLANA;442869,3053;4480480,113;E: M-30 (tubo norte);BARRA con cadenas, bajo PMV;40,4730384;-3,6739647
8950;4,5;AVENIDA DE PÍO XII - MONFORTE DE LEMOS - SINESIO DELGADO BAJO PASEO DE LA CASTELLANA;442652,2401;4480464,345;E: Avda Pio XII (tubo norte);BARRA con cadenas, bajo PMV;40,4728814;-3,6765238
8926;3;ALBERTO AGUILERA - SERRANO JOVER BAJO ALBERTO AGUILERA;439558,6536;4475760,808;E: Alberto Aguilera;CHAPAS con cadenas, bajo pórtico;40,4302907;-3,7125681
