,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC
Date,,,,,,,,,,,,
2017-01-03,19881.759765625,2257.830078125,19881.759765625,2257.830078125,19938.529296875,2263.8798828125,19775.9296875,2245.1298828125,19872.859375,2251.570068359375,339180000,3773010000
2017-01-04,19942.16015625,2270.75,19942.16015625,2270.75,19956.140625,2272.820068359375,19878.830078125,2261.60009765625,19890.939453125,2261.60009765625,280010000,3768890000
2017-01-05,19899.2890625,2269.0,19899.2890625,2269.0,19948.599609375,2271.5,19811.119140625,2260.449951171875,19924.560546875,2268.179931640625,269920000,3785080000
2017-01-06,19963.80078125,2276.97998046875,19963.80078125,2276.97998046875,19999.630859375,2282.10009765625,19834.080078125,2264.06005859375,19906.9609375,2271.139892578125,277700000,3342080000
2017-01-09,19887.380859375,2268.89990234375,19887.380859375,2268.89990234375,19943.779296875,2275.489990234375,19887.380859375,2268.89990234375,19931.41015625,2273.590087890625,287510000,3219730000
2017-01-10,19855.529296875,2268.89990234375,19855.529296875,2268.89990234375,19957.119140625,2279.27001953125,19836.029296875,2265.27001953125,19876.349609375,2269.719970703125,299410000,3640560000
2017-01-11,19954.279296875,2275.320068359375,19954.279296875,2275.320068359375,19973.419921875,2275.320068359375,19833.16015625,2260.830078125,19887.380859375,2268.60009765625,336150000,3625080000
2017-01-12,19891.0,2270.43994140625,19891.0,2270.43994140625,19929.2890625,2271.780029296875,19770.470703125,2254.25,19926.2109375,2271.139892578125,306290000,3466220000
2017-01-13,19885.73046875,2274.639892578125,19885.73046875,2274.639892578125,19952.029296875,2278.679931640625,19849.380859375,2271.510009765625,19912.5390625,2272.739990234375,263780000,3090680000
2017-01-17,19826.76953125,2267.889892578125,19826.76953125,2267.889892578125,19882.990234375,2272.080078125,19775.349609375,2262.81005859375,19848.8203125,2269.139892578125,341900000,3586950000
2017-01-18,19804.720703125,2271.889892578125,19804.720703125,2271.889892578125,19828.19921875,2272.010009765625,19739.0,2263.35009765625,19822.73046875,2269.139892578125,279760000,3317670000
2017-01-19,19732.400390625,2263.68994140625,19732.400390625,2263.68994140625,19824.140625,2274.330078125,19677.939453125,2258.409912109375,19813.55078125,2271.89990234375,301750000,3168390000
2017-01-20,19827.25,2271.31005859375,19827.25,2271.31005859375,19843.939453125,2276.9599609375,19759.140625,2265.010009765625,19795.060546875,2269.9599609375,435260000,3536850000
2017-01-23,19799.849609375,2265.199951171875,19799.849609375,2265.199951171875,19833.98046875,2271.780029296875,19732.359375,2257.02001953125,19794.7890625,2267.780029296875,326690000,3155240000
2017-01-24,19912.7109375,2280.070068359375,19912.7109375,2280.070068359375,19949.240234375,2284.6298828125,19786.7109375,2266.679931640625,19794.6796875,2267.8798828125,374460000,3816950000
2017-01-25,20068.509765625,2298.3701171875,20068.509765625,2298.3701171875,20082.0,2299.550048828125,19994.48046875,2288.8798828125,19994.48046875,2288.8798828125,372240000,3849340000
2017-01-26,20100.91015625,2296.679931640625,20100.91015625,2296.679931640625,20125.580078125,2300.989990234375,20067.529296875,2294.080078125,20076.25,2298.6298828125,356730000,3611510000
2017-01-27,20093.779296875,2294.68994140625,20093.779296875,2294.68994140625,20115.970703125,2299.02001953125,20072.640625,2291.6201171875,20103.359375,2299.02001953125,343130000,3137420000
2017-01-30,19971.130859375,2280.89990234375,19971.130859375,2280.89990234375,20028.619140625,2286.010009765625,19870.390625,2268.0400390625,20028.619140625,2286.010009765625,317280000,3595040000
2017-01-31,19864.08984375,2278.8701171875,19864.08984375,2278.8701171875,19918.169921875,2279.090087890625,19784.76953125,2267.2099609375,19913.16015625,2274.02001953125,373750000,4089730000
2017-02-01,19890.939453125,2279.550048828125,19890.939453125,2279.550048828125,19967.73046875,2289.139892578125,19845.990234375,2272.43994140625,19923.810546875,2285.590087890625,426670000,3919190000
2017-02-02,19884.91015625,2280.85009765625,19884.91015625,2280.85009765625,19922.75,2283.969970703125,19831.08984375,2271.64990234375,19858.33984375,2276.68994140625,347220000,3809760000
2017-02-03,20071.4609375,2297.419921875,20071.4609375,2297.419921875,20081.48046875,2298.31005859375,19964.2109375,2287.8798828125,19964.2109375,2288.5400390625,344220000,3605970000
2017-02-06,20052.419921875,2292.56005859375,20052.419921875,2292.56005859375,20094.94921875,2296.179931640625,20002.810546875,2288.570068359375,20025.609375,2294.280029296875,281720000,3112390000
2017-02-07,20090.2890625,2293.080078125,20090.2890625,2293.080078125,20155.349609375,2299.39990234375,20068.6796875,2290.159912109375,20107.619140625,2295.8701171875,279670000,3452460000
2017-02-08,20054.33984375,2294.669921875,20054.33984375,2294.669921875,20068.279296875,2295.909912109375,20015.330078125,2285.3798828125,20049.2890625,2289.550048828125,280410000,3611950000
2017-02-09,20172.400390625,2307.8701171875,20172.400390625,2307.8701171875,20206.359375,2311.080078125,20061.73046875,2296.610107421875,20061.73046875,2296.699951171875,325310000,3681600000
2017-02-10,20269.369140625,2316.10009765625,20269.369140625,2316.10009765625,20298.2109375,2319.22998046875,20204.759765625,2311.10009765625,20211.23046875,2312.27001953125,312230000,3496600000
2017-02-13,20412.16015625,2328.25,20412.16015625,2328.25,20441.48046875,2331.580078125,20322.94921875,2321.419921875,20338.5390625,2321.719970703125,314620000,3352370000
2017-02-14,20504.41015625,2337.580078125,20504.41015625,2337.580078125,20504.41015625,2337.580078125,20374.01953125,2322.169921875,20374.220703125,2326.1201171875,356580000,3528040000
2017-02-15,20611.859375,2349.25,20611.859375,2349.25,20620.44921875,2351.300048828125,20496.029296875,2334.81005859375,20504.26953125,2335.580078125,384380000,3785870000
2017-02-16,20619.76953125,2347.219970703125,20619.76953125,2347.219970703125,20639.869140625,2351.31005859375,20556.830078125,2338.8701171875,20627.310546875,2349.639892578125,354120000,3675900000
2017-02-17,20624.05078125,2351.159912109375,20624.05078125,2351.159912109375,20624.05078125,2351.159912109375,20532.609375,2339.580078125,20564.130859375,2343.010009765625,340620000,3516830000
2017-02-21,20743.0,2365.3798828125,20743.0,2365.3798828125,20757.640625,2366.7099609375,20663.369140625,2354.909912109375,20663.4296875,2354.909912109375,336880000,3587520000
2017-02-22,20775.599609375,2362.820068359375,20775.599609375,2362.820068359375,20781.58984375,2365.1298828125,20692.390625,2358.340087890625,20715.41015625,2361.110107421875,310530000,3473170000
2017-02-23,20810.3203125,2363.81005859375,20810.3203125,2363.81005859375,20840.69921875,2368.260009765625,20746.41015625,2355.090087890625,20817.2109375,2367.5,302110000,4021770000
2017-02-24,20821.759765625,2367.340087890625,20821.759765625,2367.340087890625,20821.759765625,2367.340087890625,20733.94921875,2352.8701171875,20751.91015625,2355.72998046875,292540000,3832410000
2017-02-27,20837.439453125,2369.75,20837.439453125,2369.75,20851.330078125,2371.5400390625,20774.759765625,2361.8701171875,20808.7109375,2365.22998046875,256540000,3584680000
2017-02-28,20812.240234375,2363.639892578125,20812.240234375,2363.639892578125,20841.240234375,2367.7900390625,20781.2109375,2358.9599609375,20833.880859375,2366.080078125,339210000,4212460000
2017-03-01,21115.55078125,2395.9599609375,21115.55078125,2395.9599609375,21169.109375,2400.97998046875,20957.2890625,2380.1298828125,20957.2890625,2380.1298828125,392820000,4347630000
2017-03-02,21002.970703125,2381.919921875,21002.970703125,2381.919921875,21129.19921875,2394.75,20996.609375,2380.169921875,21128.91015625,2394.75,319910000,3824030000
2017-03-03,21005.7109375,2383.1201171875,21005.7109375,2383.1201171875,21039.9609375,2383.889892578125,20953.859375,2375.389892578125,21008.75,2380.919921875,254420000,3556670000
2017-03-06,20954.33984375,2375.31005859375,20954.33984375,2375.31005859375,20986.4296875,2378.800048828125,20912.109375,2367.97998046875,20955.7109375,2375.22998046875,266620000,3251800000
